"lightLink","fl-l href","lazyloaded src","fs14","fs12","title","title href","title 2","title href 2","title 3","title href 3","title 4","title href 4","title 5","title href 5","title 6","title href 6","favorites"
"21","https://myanimelist.net/character/85/Kakashi_Hatake","https://cdn.myanimelist.net/r/50x78/images/characters/7/284129.webp?s=b739f67c37c0c7f0a82595f8b92497b5","Hatake, Kakashi","(はたけ カカシ)","Naruto","https://myanimelist.net/anime/20/Naruto","Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!","https://myanimelist.net/anime/442/Naruto_Movie_1__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Dattebayo","Naruto: Akaki Yotsuba no Clover wo Sagase","https://myanimelist.net/anime/761/Naruto__Akaki_Yotsuba_no_Clover_wo_Sagase","Naruto","https://myanimelist.net/manga/11/Naruto","Naruto Hiden Series","https://myanimelist.net/manga/86129/Naruto_Hiden_Series","Naruto Shinden Series","https://myanimelist.net/manga/98462/Naruto_Shinden_Series","45,975"
"22","https://myanimelist.net/character/1/Spike_Spiegel","https://cdn.myanimelist.net/r/50x78/images/characters/4/50197.webp?s=9e246cec0dd94ea3bd0ca7cc2cf9af14","Spiegel, Spike","(スパイク・スピーゲル)","Cowboy Bebop","https://myanimelist.net/anime/1/Cowboy_Bebop","Cowboy Bebop: Tengoku no Tobira","https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira","Cowboy Bebop: Yose Atsume Blues","https://myanimelist.net/anime/4037/Cowboy_Bebop__Yose_Atsume_Blues","Cowboy Bebop","https://myanimelist.net/manga/173/Cowboy_Bebop","Shooting Star Bebop: Cowboy Bebop","https://myanimelist.net/manga/174/Shooting_Star_Bebop__Cowboy_Bebop","","","44,788"
"23","https://myanimelist.net/character/118763/Rem","https://cdn.myanimelist.net/r/50x78/images/characters/9/311327.webp?s=7e5df54b2e8e1851e34117db6150e831","Rem","(レム)","Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner Movie","https://myanimelist.net/anime/39921/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_-_Memory_Snow_-_Manner_Movie","Re:Zero kara Hajimeru Isekai Seikatsu","https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu","Re:Zero kara Hajimeru Break Time","https://myanimelist.net/anime/33142/Re_Zero_kara_Hajimeru_Break_Time","Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen","https://myanimelist.net/manga/74695/Re_Zero_kara_Hajimeru_Isekai_Seikatsu__Dai-1_Shou_-_Outo_no_Ichinichi-hen","Re:Zero kara Hajimeru Isekai Seikatsu","https://myanimelist.net/manga/74697/Re_Zero_kara_Hajimeru_Isekai_Seikatsu","Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen","https://myanimelist.net/manga/80719/Re_Zero_kara_Hajimeru_Isekai_Seikatsu__Dai-2_Shou_-_Yashiki_no_Isshuukan-hen","44,342"
"24","https://myanimelist.net/character/22037/Hitagi_Senjougahara","https://cdn.myanimelist.net/r/50x78/images/characters/11/287902.webp?s=324b9fcf6d6bff004c6b0e180ec656fc","Senjougahara, Hitagi","(戦場ヶ原 ひたぎ)","Bakemonogatari","https://myanimelist.net/anime/5081/Bakemonogatari","Bakemonogatari Recap","https://myanimelist.net/anime/6948/Bakemonogatari_Recap","Monogatari Series: Second Season","https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season","Monogatari Series: First Season","https://myanimelist.net/manga/14893/Monogatari_Series__First_Season","Monogatari Series: Second Season","https://myanimelist.net/manga/23751/Monogatari_Series__Second_Season","Bakemonogatari Short Stories","https://myanimelist.net/manga/24499/Bakemonogatari_Short_Stories","39,686"
"25","https://myanimelist.net/character/36765/Kazuto_Kirigaya","https://cdn.myanimelist.net/r/50x78/images/characters/7/204821.webp?s=579b58436939cedb2f11864a8c5e7a98","Kirigaya, Kazuto","(桐ヶ谷 和人)","Sword Art Online","https://myanimelist.net/anime/11757/Sword_Art_Online","Sword Art Online: Sword Art Offline","https://myanimelist.net/anime/16099/Sword_Art_Online__Sword_Art_Offline","Sword Art Online: Extra Edition","https://myanimelist.net/anime/20021/Sword_Art_Online__Extra_Edition","Sword Art Online","https://myanimelist.net/manga/21479/Sword_Art_Online","Sword Art Online: Aincrad","https://myanimelist.net/manga/23718/Sword_Art_Online__Aincrad","Sword Art Online: Material Edition","https://myanimelist.net/manga/37405/Sword_Art_Online__Material_Edition","39,675"
"26","https://myanimelist.net/character/6356/Joseph_Joestar","https://cdn.myanimelist.net/r/50x78/images/characters/6/252863.webp?s=445cf0f74c108009f2b18f02b2f00540","Joestar, Joseph","(ジョセフ・ジョースター)","JoJo no Kimyou na Bouken: Adventure","https://myanimelist.net/anime/665/JoJo_no_Kimyou_na_Bouken__Adventure","JoJo no Kimyou na Bouken","https://myanimelist.net/anime/666/JoJo_no_Kimyou_na_Bouken","JoJo no Kimyou na Bouken (TV)","https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV","JoJo no Kimyou na Bouken Part 3: Stardust Crusaders","https://myanimelist.net/manga/872/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders","JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu","https://myanimelist.net/manga/1630/JoJo_no_Kimyou_na_Bouken_Part_2__Sentou_Chouryuu","JoJo no Kimyou na Bouken","https://myanimelist.net/manga/57051/JoJo_no_Kimyou_na_Bouken","39,515"
"27","https://myanimelist.net/character/117225/Megumin","https://cdn.myanimelist.net/r/50x78/images/characters/14/349249.webp?s=8399354d20080f06b47f0c2461a59d09","Megumin","(めぐみん)","Kono Subarashii Sekai ni Shukufuku wo!","https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo","Kono Subarashii Sekai ni Shukufuku wo! Kono Subarashii Choker ni Shukufuku wo!","https://myanimelist.net/anime/32380/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Kono_Subarashii_Choker_ni_Shukufuku_wo","Kono Subarashii Sekai ni Shukufuku wo! 2","https://myanimelist.net/anime/32937/Kono_Subarashii_Sekai_ni_Shukufuku_wo_2","Kono Subarashii Sekai ni Shukufuku wo!","https://myanimelist.net/manga/60553/Kono_Subarashii_Sekai_ni_Shukufuku_wo","Kono Subarashii Sekai ni Shukufuku wo!","https://myanimelist.net/manga/80385/Kono_Subarashii_Sekai_ni_Shukufuku_wo","Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Subarashii Sekai ni Bakuen wo!","https://myanimelist.net/manga/89768/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Spin-off__Kono_Subarashii_Sekai_ni_Bakuen_wo","39,482"
"28","https://myanimelist.net/character/84677/Yato","https://cdn.myanimelist.net/r/50x78/images/characters/3/328158.webp?s=9e5cd5d65ab58ff21cd86cd27cc4a129","Yato","(夜ト)","Noragami","https://myanimelist.net/anime/20507/Noragami","Noragami OVA","https://myanimelist.net/anime/20767/Noragami_OVA","Noragami Aragoto","https://myanimelist.net/anime/30503/Noragami_Aragoto","Noragami","https://myanimelist.net/manga/24692/Noragami","Noragami: Shuuishuu","https://myanimelist.net/manga/62723/Noragami__Shuuishuu","Noragami: Awase Kagami","https://myanimelist.net/manga/69747/Noragami__Awase_Kagami","38,992"
"29","https://myanimelist.net/character/118737/Emilia","https://cdn.myanimelist.net/r/50x78/images/characters/10/268173.webp?s=04e433d2c9589cfa94d0a19d73a2a188","Emilia","(エミリア)","Re:Zero kara Hajimeru Isekai Seikatsu","https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu","Re:Zero kara Hajimeru Break Time","https://myanimelist.net/anime/33142/Re_Zero_kara_Hajimeru_Break_Time","Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow","https://myanimelist.net/anime/36286/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_-_Memory_Snow","Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen","https://myanimelist.net/manga/74695/Re_Zero_kara_Hajimeru_Isekai_Seikatsu__Dai-1_Shou_-_Outo_no_Ichinichi-hen","Re:Zero kara Hajimeru Isekai Seikatsu","https://myanimelist.net/manga/74697/Re_Zero_kara_Hajimeru_Isekai_Seikatsu","Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen","https://myanimelist.net/manga/80719/Re_Zero_kara_Hajimeru_Isekai_Seikatsu__Dai-2_Shou_-_Yashiki_no_Isshuukan-hen","38,087"
"30","https://myanimelist.net/character/118739/Mai_Sakurajima","https://cdn.myanimelist.net/r/50x78/images/characters/2/366639.webp?s=f5beced29d581eabdf6aaadd1da277b4","Sakurajima, Mai","(桜島 麻衣)","Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai","https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai","Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai","https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai","Seishun Buta Yarou wa Odekake Sister no Yume wo Minai","https://myanimelist.net/anime/53129/Seishun_Buta_Yarou_wa_Odekake_Sister_no_Yume_wo_Minai","Seishun Buta Yarou Series","https://myanimelist.net/manga/70399/Seishun_Buta_Yarou_Series","Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai","https://myanimelist.net/manga/92182/Seishun_Buta_Yarou_wa_Bunny_Girl-senpai_no_Yume_wo_Minai","Seishun Buta Yarou wa Petit Devil Kouhai no Yume wo Minai","https://myanimelist.net/manga/116482/Seishun_Buta_Yarou_wa_Petit_Devil_Kouhai_no_Yume_wo_Minai","36,665"
"31","https://myanimelist.net/character/155679/Zero_Two","https://cdn.myanimelist.net/r/50x78/images/characters/10/352557.webp?s=f535b74bb9479b0a7cf3b4dea371a936","Zero Two","(ゼロツー)","Darling in the FranXX","https://myanimelist.net/anime/35849/Darling_in_the_FranXX","","","","","Darling in the FranXX","https://myanimelist.net/manga/111512/Darling_in_the_FranXX","Darling in the FranXX!","https://myanimelist.net/manga/111838/Darling_in_the_FranXX","","","36,295"
"32","https://myanimelist.net/character/68/Roy_Mustang","https://cdn.myanimelist.net/r/50x78/images/characters/7/72983.webp?s=0356e82da9f0f598585094b0fbf748ae","Mustang, Roy","(ロイ・マスタング)","Fullmetal Alchemist: Brotherhood Specials","https://myanimelist.net/anime/6421/Fullmetal_Alchemist__Brotherhood_Specials","Fullmetal Alchemist: The Sacred Star of Milos Specials","https://myanimelist.net/anime/10842/Fullmetal_Alchemist__The_Sacred_Star_of_Milos_Specials","Fullmetal Alchemist","https://myanimelist.net/anime/121/Fullmetal_Alchemist","Fullmetal Alchemist","https://myanimelist.net/manga/25/Fullmetal_Alchemist","Fullmetal Alchemist","https://myanimelist.net/manga/4658/Fullmetal_Alchemist","","","36,035"
